시각,모드,구분,종목코드,수량,가격,주문번호,상태,메시지
2026-06-22 13:22:20,모의,매수,088980,1751,10650,0000029745,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:22:23,모의,매수,035250,1106,14950,0000029750,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:22:27,모의,매수,030000,737,18870,0000029756,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:22:28,모의,매수,033780,75,176500,0000029757,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:22:33,모의,매수,097950,63,189600,0000029762,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:22:35,모의,매수,036460,354,33800,0000029767,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:22:38,모의,매수,271560,92,129500,0000029773,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:22:40,모의,매수,024110,569,20750,0000029778,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:22:43,모의,매수,207940,8,1303000,0000029780,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:22:44,모의,매수,138930,635,17090,0000029783,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:22:46,모의,매수,030200,204,52800,0000029786,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:22:51,모의,매수,316140,346,30150,0000029790,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:22:55,모의,매수,000100,141,73500,0000029794,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:22:58,모의,매수,032640,704,14630,0000029797,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:23:02,모의,매수,051900,43,229000,0000029800,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:23:04,모의,매수,021240,115,86700,0000029804,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:23:11,모의,매수,055550,101,98200,0000029811,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:23:15,모의,매수,017800,131,74500,0000029819,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:23:19,모의,매수,139130,585,16600,0000029823,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:23:26,모의,매수,086790,80,119500,0000029835,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:23:32,모의,매도,000660,3,2895000,0000029842,성공,모의투자 매도주문이 완료 되었습니다.
2026-06-22 13:23:34,모의,매도,009155,8,916000,0000029846,성공,모의투자 매도주문이 완료 되었습니다.
2026-06-22 13:23:38,모의,매도,440110,56,115000,0000029851,성공,모의투자 매도주문이 완료 되었습니다.
2026-06-22 13:23:42,모의,매도,353200,40,155600,0000029854,성공,모의투자 매도주문이 완료 되었습니다.
2026-06-22 13:23:46,모의,매도,402340,4,1934000,0000029858,성공,모의투자 매도주문이 완료 되었습니다.
2026-06-22 13:23:51,모의,매도,159010,261,22250,0000029862,성공,모의투자 매도주문이 완료 되었습니다.
2026-06-22 13:23:58,모의,매도,080220,44,131100,0000029872,성공,모의투자 매도주문이 완료 되었습니다.
2026-06-22 13:24:01,모의,매도,032580,849,6350,0000029874,성공,모의투자 매도주문이 완료 되었습니다.
2026-06-22 13:24:10,모의,매도,011070,5,1136000,0000029880,성공,모의투자 매도주문이 완료 되었습니다.
2026-06-22 13:24:21,모의,매도,009150,3,2231000,0000029896,성공,모의투자 매도주문이 완료 되었습니다.
2026-06-22 13:24:25,모의,매도,327260,80,60600,0000029904,성공,모의투자 매도주문이 완료 되었습니다.
2026-06-22 13:24:30,모의,매도,036930,23,188200,0000029910,성공,모의투자 매도주문이 완료 되었습니다.
2026-06-22 13:43:07,모의,매도,009155,1,908000,0000031735,성공,모의투자 매도주문이 완료 되었습니다.
2026-06-22 13:43:09,모의,매도,011070,1,1120000,0000031739,성공,모의투자 매도주문이 완료 되었습니다.
2026-06-22 13:43:11,모의,매도,032580,801,6170,,실패/거부,모의투자 잔고내역이 없습니다.
2026-06-22 13:43:14,모의,매도,036930,6,185300,0000031755,성공,모의투자 매도주문이 완료 되었습니다.
2026-06-22 13:43:16,모의,매도,080220,12,129400,0000031762,성공,모의투자 매도주문이 완료 되었습니다.
2026-06-22 13:43:18,모의,매수,088980,486,10640,0000031767,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:43:20,모의,매수,035250,306,14940,0000031772,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:43:25,모의,매수,030000,206,18820,0000031778,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:43:30,모의,매수,033780,21,176600,0000031789,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:43:37,모의,매수,097950,18,189100,0000031797,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:43:45,모의,매수,036460,97,33850,0000031803,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:43:52,모의,매수,271560,117,129700,0000031812,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:43:56,모의,매수,024110,159,20750,0000031822,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:44:01,모의,매수,207940,10,1297000,0000031829,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:44:10,모의,매수,138930,810,17110,0000031848,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:44:17,모의,매수,030200,55,53000,0000031863,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:44:22,모의,매수,316140,444,30000,0000031874,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:44:24,모의,매수,000100,39,73500,0000031879,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:44:28,모의,매수,032640,195,14620,0000031885,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:44:30,모의,매수,051900,13,228500,0000031892,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:44:31,모의,매수,021240,32,86500,0000031893,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:44:35,모의,매수,055550,28,98300,0000031897,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:44:39,모의,매수,017800,36,74400,0000031904,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:44:46,모의,매수,139130,751,16510,0000031914,성공,모의투자 매수주문이 완료 되었습니다.
2026-06-22 13:44:48,모의,매수,086790,22,119600,0000031918,성공,모의투자 매수주문이 완료 되었습니다.
